Qubit,Real,Depolarizing,Amplitude,Phase
000,0.01776,0.00011,0.00094,0.00021
001,0.01095,0.00197,0.00138,0.00138
010,0.01267,0.00253,0.00016,0.00049
011,0.00817,0.00164,0.00232,0.00161
100,0.00814,0.00028,0.00185,0.00083
101,0.01219,0.00191,0.00185,0.00145
110,0.01179,0.00043,0.0002,0.00119
111,0.01743,0.00079,0.00058,0.003
