Qubit,Real,Depolarizing,Amplitude,Phase
00,0.0131,0.00219,0.00364,0.00133
01,0.00323,0.00237,0.00199,0.00259
10,0.00341,0.00106,0.00108,0.00033
11,0.01292,0.00088,0.00273,0.00159
